,symbol,code,retracement_level
418,MSNIAGA,5011,Fibo382_dist
419,PENSONI,9997,Fibo236_dist
420,CSCSTEL,5094,Fibo618_dist
421,GDEX,0078,Fibo382_dist
422,KLK,2445,Fibo236_dist
423,GENP,2291,Fibo500_dist
424,KFIMA,6491,Fibo382_dist
425,RESINTC,7232,Fibo764_dist
426,AIRPORT,5014,Fibo500_dist
427,UMSNGB,7227,Fibo764_dist
428,GADANG,9261,Fibo618_dist
429,SWKPLNT,5135,Fibo500_dist
430,BAHVEST,0098,Fibo236_dist
431,TAANN,5012,Fibo382_dist
432,KSENG,3476,Fibo618_dist
433,SAB,5134,Fibo236_dist
434,NOTION,0083,Fibo500_dist
435,GENM,4715,Fibo382_dist
436,TMCLIFE,0101,Fibo500_dist
437,HEXZA,3298,Fibo618_dist
438,ANCOM,4758,Fibo382_dist
439,MUDA,3883,Fibo500_dist
440,PBA,5041,Fibo618_dist
441,GENTING,3182,Fibo618_dist
442,TAGB,5158,
443,YEELEE,5584,Fibo236_dist
444,FIMACOR,3107,Fibo236_dist
445,SIMEPROP,5288,Fibo382_dist
446,YNHPROP,3158,Fibo500_dist
447,CRESBLD,8591,Fibo500_dist
448,JKGLAND,6769,Fibo236_dist
449,KANGER,0170,Fibo236_dist
450,SCNWOLF,7239,Fibo382_dist
451,INNITY,0147,Fibo618_dist
452,MANULFE,1058,Fibo236_dist
453,RAPID,7765,Fibo618_dist
454,MUHIBAH,5703,Fibo500_dist
455,WATTA,7226,Fibo236_dist
456,T7GLOBAL,7228,Fibo618_dist
457,HCK,7105,Fibo764_dist
458,WIDETEC,7692,Fibo382_dist
459,MALTON,6181,Fibo618_dist
460,ACO,0218,Fibo382_dist
461,HEVEA,5095,Fibo500_dist
462,MKH,6114,Fibo764_dist
463,KEINHIN,7199,Fibo382_dist
464,SCH,0161,Fibo382_dist
465,KPS,5843,Fibo382_dist
466,HIGHTEC,7033,Fibo764_dist
467,SIMEPLT,5285,Fibo500_dist
468,CRESNDO,6718,Fibo500_dist
469,YTLPOWR,6742,Fibo382_dist
470,UEMS,5148,Fibo764_dist
471,BINTAI,6998,Fibo236_dist
472,CWG,9423,Fibo764_dist
473,JCBNEXT,0058,Fibo618_dist
474,L&G,3174,Fibo382_dist
475,SKBSHUT,7115,Fibo764_dist
476,GMUTUAL,9962,Fibo764_dist
477,MGB,7595,Fibo764_dist
478,BJFOOD,5196,
479,IOIPG,5249,Fibo500_dist
480,UMS,7137,Fibo764_dist
481,MESTRON,0207,Fibo500_dist
482,SPSETIA,8664,Fibo618_dist
483,GRANFLO,0056,Fibo764_dist
484,UOAREIT,5110,Fibo382_dist
485,AMFIRST,5120,Fibo618_dist
486,ESAFE,0190,Fibo618_dist
487,MMCCORP,2194,Fibo500_dist
488,GLOMAC,5020,Fibo764_dist
489,KNM,7164,Fibo500_dist
490,SEAL,4286,Fibo382_dist
491,PJBUMI,7163,Fibo618_dist
492,SDRED,2224,Fibo618_dist
493,SMETRIC,0203,Fibo236_dist
494,TASCO,5140,Fibo618_dist
495,TSH,9059,Fibo382_dist
496,PRLEXUS,8966,Fibo764_dist
497,POLYDM,03031,Fibo236_dist
498,EG,8907,Fibo764_dist
499,IHH,5225,Fibo500_dist
500,PICORP,7201,Fibo382_dist
501,VELESTO,5243,Fibo764_dist
502,TPC,7176,Fibo764_dist
503,KPSCB,9121,Fibo764_dist
504,ATRIUM,5130,Fibo236_dist
505,CMMT,5180,Fibo764_dist
506,MENANG,1694,Fibo236_dist
507,CHGP,7187,Fibo382_dist
508,E&O,3417,Fibo764_dist
509,AYER,2305,Fibo764_dist
510,IBHD,4251,Fibo382_dist
511,MQREIT,5123,
512,SAPIND,7811,Fibo764_dist
513,GPP,03029,Fibo236_dist
514,PWF,7134,Fibo382_dist
515,PETRONM,3042,Fibo500_dist
516,AJIYA,7609,Fibo382_dist
517,APM,5015,Fibo764_dist
518,NHFATT,7060,Fibo618_dist
519,ECOHLDS,0059,Fibo382_dist
520,IMASPRO,7222,Fibo764_dist
521,APEX,5088,Fibo382_dist
522,XDL,5156,Fibo764_dist
523,AMPROP,1007,Fibo236_dist
524,LIONPSIM,8486,Fibo764_dist
525,PLENITU,5075,Fibo764_dist
526,HEXTAR,5151,Fibo764_dist
527,SCGM,7247,Fibo382_dist
528,SYCAL,9717,Fibo618_dist
529,IJMPLNT,2216,Fibo382_dist
530,BJLAND,4219,Fibo764_dist
531,XINHWA,5267,Fibo764_dist
532,PRESTAR,9873,Fibo382_dist
