title,symbol,code,board,cat,capital,vol
MALAYSIAN PACIFIC INDUSTRIES BERHAD,MPI,3867,Main Market,Technology,2233.17,6007.0
HIBISCUS PETROLEUM BERHAD,HIBISCS,5199,Main Market,Energy,1080.0,2576171.0
HONG LEONG FINANCIAL GROUP BERHAD,HLFG,1082,Main Market,Financial Services,17098.0,1502.0
ELK-DESA RESOURCES BERHAD,ELKDESA,5228,Main Market,Financial Services,416.01,3277.0
RADIANT GLOBALTECH BERHAD,RGTECH,0202,Ace Market,Technology,157.56,35667.0
PUBLIC PACKAGES HOLDINGS BHD,PPHB,8273,Main Market,Industrial Products & Services,135.81,17013.0
THREE-A RESOURCES BERHAD,3A,0012,Main Market,Consumer Products & Services,393.6,182.0
FAJARBARU BUILDER GROUP BHD,FAJAR,7047,Main Market,Construction,110.3,9284.0
TADMAX RESOURCES BERHAD,TADMAX,4022,Main Market,Property,192.02,148041.0
AMMB HOLDINGS BERHAD,AMBANK,1015,Main Market,Financial Services,9765.96,34766.0
GAMUDA BERHAD,GAMUDA,5398,Main Market,Construction,9551.41,74178.0
WONG ENGINEERING CORPORATION BERHAD,WONG,7050,Main Market,Industrial Products & Services,48.14,0.0
THRIVEN GLOBAL BERHAD,THRIVEN,7889,Main Market,Property,109.39,42418.0
PERUSAHAAN SADUR TIMAH MALAYSIA (PERSTIMA) BHD,PERSTIM,5436,Main Market,Industrial Products & Services,427.01,105.0
SUNWAY BERHAD,SUNWAY,5211,Main Market,Industrial Products & Services,7006.18,69154.0
PETRONAS CHEMICALS GROUP BERHAD,PCHEM,5183,Main Market,Industrial Products & Services,53600.0,33489.0
BABA ECO GROUP BERHAD,BABA,03012,Leap Market,Consumer Products & Services,38.2,0.0
A-RANK BERHAD,ARANK,7214,Main Market,Industrial Products & Services,70.59,56.0
ACME HOLDINGS BERHAD,ACME,7131,Main Market,Property,48.51,25.0
ZHULIAN CORPORATION BERHAD,ZHULIAN,5131,Main Market,Consumer Products & Services,542.8,3479.0
INNATURE BERHAD,INNATURE,5295,Main Market,Consumer Products & Services,243.53,6559.0
INTEGRATED LOGISTICS BHD,ILB,5614,Main Market,Transportation & Logistics,56.56,357.0
P.I.E. INDUSTRIAL BERHAD,PIE,7095,Main Market,Industrial Products & Services,495.41,802.0
PETERLABS HOLDINGS BERHAD,PLABS,0171,Ace Market,Consumer Products & Services,40.8,2809.0
MALAYSIA BUILDING SOCIETY BERHAD,MBSB,1171,Main Market,Financial Services,4934.35,59281.0
KIMLUN CORPORATION BERHAD,KIMLUN,5171,Main Market,Construction,254.87,4501.0
CE TECHNOLOGY BERHAD,CETECH,03024,Leap Market,Industrial Products & Services,173.06,0.0
GEORGE KENT (MALAYSIA) BERHAD,GKENT,3204,Main Market,Construction,402.74,26834.0
HARRISONS HOLDINGS (MALAYSIA) BERHAD,HARISON,5008,Main Market,Consumer Products & Services,260.26,150.0
TALIWORKS CORPORATION BERHAD,TALIWRK,8524,Main Market,Utilities,1713.44,27716.0
IGB REAL ESTATE INVESTMENT TRUST,IGBREIT,5227,Main Market,Real Estate Investment Trusts,6043.54,22305.0
KSL HOLDINGS BERHAD,KSL,5038,Main Market,Property,721.07,22386.0
FCW HOLDINGS BERHAD,FCW,2755,Main Market,Consumer Products & Services,145.0,2.0
AL-`AQAR HEALTHCARE REIT,ALAQAR,5116,Main Market,Real Estate Investment Trusts,1023.02,740.0
AME ELITE CONSORTIUM BERHAD,AME,5293,Main Market,Construction,734.64,14452.0
DKSH HOLDINGS (MALAYSIA) BERHAD,DKSH,5908,Main Market,Consumer Products & Services,424.1,236.0
UOA DEVELOPMENT BHD,UOADEV,5200,Main Market,Property,3521.21,25190.0
JIANKUN INTERNATIONAL BERHAD,JIANKUN,8923,Main Market,Property,68.41,6107.0
OSK HOLDINGS BERHAD,OSK,5053,Main Market,Property,1843.86,7040.0
TENAGA NASIONAL BHD,TENAGA,5347,Main Market,Utilities,68226.98,70066.0
UNIMECH GROUP BERHAD,UNIMECH,7091,Main Market,Industrial Products & Services,174.65,310.0
MARCO HOLDINGS BERHAD,MARCO,3514,Main Market,Consumer Products & Services,105.43,8048.0
TIMBERWELL BERHAD,TIMWELL,7854,Main Market,Industrial Products & Services,40.96,0.0
ACE INNOVATE ASIA BERHAD,ACEINNO,03028,Leap Market,Industrial Products & Services,108.01,0.0
TAMBUN INDAH LAND BERHAD,TAMBUN,5191,Main Market,Property,247.07,41044.0
SPRITZER BHD,SPRITZER,7103,Main Market,Consumer Products & Services,432.58,70.0
GABUNGAN AQRS BERHAD,GBGAQRS,5226,Main Market,Construction,464.92,40045.0
MYNEWS HOLDINGS BERHAD,MYNEWS,5275,Main Market,Consumer Products & Services,545.72,2076.0
FEDERAL INTERNATIONAL HOLDINGS BERHAD,FIHB,8605,Main Market,Consumer Products & Services,38.2,2908.0
ALLIANCE BANK MALAYSIA BERHAD,ABMB,2488,Main Market,Financial Services,3669.01,28250.0
RHONE MA HOLDINGS BERHAD,RHONEMA,5278,Main Market,Consumer Products & Services,123.22,30.0
KNUSFORD BERHAD,KNUSFOR,5035,Main Market,Industrial Products & Services,76.73,60.0
WILLOWGLEN MSC BERHAD,WILLOW,0008,Main Market,Technology,235.6,2807.0
TEO GUAN LEE CORPORATION BERHAD,TGL,9369,Main Market,Consumer Products & Services,45.22,0.0
LAMBO GROUP BERHAD,LAMBO,0018,Ace Market,Technology,58.86,343508.0
OCEANCASH PACIFIC BERHAD,OCNCASH,0049,Main Market,Consumer Products & Services,188.88,196383.0
HONG LEONG CAPITAL BERHAD,HLCAP,5274,Main Market,Financial Services,2518.35,0.0
Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,YSPSAH,7178,Main Market,Health Care,329.69,744.0
TROPICANA CORPORATION BERHAD,TROP,5401,Main Market,Property,1323.38,4883.0
CIMB GROUP HOLDINGS BERHAD,CIMB,1023,Main Market,Financial Services,39294.97,184444.0
ORNAPAPER BERHAD,ORNA,5065,Main Market,Industrial Products & Services,76.76,1993.0
WIDAD GROUP BERHAD,WIDAD,0162,Ace Market,Construction,1202.77,54731.0
OKA CORPORATION BHD,OKA,7140,Main Market,Industrial Products & Services,149.69,4160.0
PECCA GROUP BERHAD,PECCA,5271,Main Market,Industrial Products & Services,156.98,44294.0
RGT BERHAD,RGTBHD,9954,Main Market,Industrial Products & Services,175.96,194570.0
UZMA BERHAD,UZMA,7250,Main Market,Energy,208.02,184958.0
DRB-HICOM BERHAD,DRBHCOM,1619,Main Market,Consumer Products & Services,3557.16,356810.0
SUPERLON HOLDINGS BERHAD,SUPERLN,7235,Main Market,Industrial Products & Services,108.8,7694.0
FAR EAST HOLDINGS BERHAD,FAREAST,5029,Main Market,Plantation,1395.52,0.0
YOONG ONN CORPORATION BERHAD,YOCB,5159,Main Market,Consumer Products & Services,102.4,157.0
HEITECH PADU BERHAD,HTPADU,5028,Main Market,Technology,104.26,15772.0
PAVILION REAL ESTATE INVESTMENT TRUST,PAVREIT,5212,Main Market,Real Estate Investment Trusts,5051.93,9818.0
